name	electrode_name	type	units
ch548	e548	n/a	V
ch549	e549	n/a	V
ch550	e550	n/a	V
ch551	e551	n/a	V
ch552	e552	n/a	V
ch553	e553	n/a	V
ch554	e554	n/a	V
ch555	e555	n/a	V
ch556	e556	n/a	V
ch557	e557	n/a	V
ch558	e558	n/a	V
ch559	e559	n/a	V
ch560	e560	n/a	V
ch561	e561	n/a	V
ch562	e562	n/a	V
ch563	e563	n/a	V
ch564	e564	n/a	V
ch565	e565	n/a	V
ch566	e566	n/a	V
ch567	e567	n/a	V
ch568	e568	n/a	V
ch569	e569	n/a	V
ch570	e570	n/a	V
ch571	e571	n/a	V
ch572	e572	n/a	V
ch573	e573	n/a	V
ch574	e574	n/a	V
ch575	e575	n/a	V
ch576	e576	n/a	V
ch577	e577	n/a	V
ch578	e578	n/a	V
ch579	e579	n/a	V
ch580	e580	n/a	V
ch581	e581	n/a	V
ch582	e582	n/a	V
ch583	e583	n/a	V
ch584	e584	n/a	V
ch585	e585	n/a	V
ch586	e586	n/a	V
ch587	e587	n/a	V
ch588	e588	n/a	V
ch589	e589	n/a	V
ch590	e590	n/a	V
ch591	e591	n/a	V
ch592	e592	n/a	V
ch593	e593	n/a	V
ch594	e594	n/a	V
ch595	e595	n/a	V
ch596	e596	n/a	V
ch597	e597	n/a	V
ch598	e598	n/a	V
ch599	e599	n/a	V
ch600	e600	n/a	V
ch601	e601	n/a	V
ch602	e602	n/a	V
ch603	e603	n/a	V
ch604	e604	n/a	V
ch605	e605	n/a	V
ch606	e606	n/a	V
ch607	e607	n/a	V
ch608	e608	n/a	V
ch609	e609	n/a	V
ch610	e610	n/a	V
ch611	e611	n/a	V
ch612	e612	n/a	V
ch613	e613	n/a	V
ch614	e614	n/a	V
ch615	e615	n/a	V
ch616	e616	n/a	V
ch617	e617	n/a	V
ch618	e618	n/a	V
ch619	e619	n/a	V
ch620	e620	n/a	V
ch621	e621	n/a	V
ch622	e622	n/a	V
ch623	e623	n/a	V
ch624	e624	n/a	V
ch625	e625	n/a	V
ch626	e626	n/a	V
ch627	e627	n/a	V
ch628	e628	n/a	V
ch629	e629	n/a	V
ch630	e630	n/a	V
ch631	e631	n/a	V
ch632	e632	n/a	V
ch633	e633	n/a	V
ch634	e634	n/a	V
ch635	e635	n/a	V
ch636	e636	n/a	V
ch637	e637	n/a	V
ch638	e638	n/a	V
ch639	e639	n/a	V
ch640	e640	n/a	V
ch641	e641	n/a	V
ch642	e642	n/a	V
ch643	e643	n/a	V
ch644	e644	n/a	V
ch645	e645	n/a	V
ch646	e646	n/a	V
ch647	e647	n/a	V
ch648	e648	n/a	V
ch649	e649	n/a	V
ch650	e650	n/a	V
ch651	e651	n/a	V
ch652	e652	n/a	V
ch653	e653	n/a	V
ch654	e654	n/a	V
ch655	e655	n/a	V
ch656	e656	n/a	V
ch657	e657	n/a	V
ch658	e658	n/a	V
ch659	e659	n/a	V
ch660	e660	n/a	V
ch661	e661	n/a	V
ch662	e662	n/a	V
ch663	e663	n/a	V
ch664	e664	n/a	V
ch665	e665	n/a	V
ch666	e666	n/a	V
